1325632,728,3031,180,1043,21,https://t.co/q26dOxwI96,en,London,Lancaster UK,1,0,0,http://pbs.twimg.com/profile_images/925402143787544582/Hs658o3M_normal.jpg,https://pbs.twimg.com/profile_banners/1325632296/1510166505/web,1,https://pbs.twimg.com/profile_background_images/626382663990005760/NjCCZ_s9.png,333333,0,0,0,Senior Researcher at Lancaster University - Financial Narrative Processing Arabic #NLProc Machine Learning MultiLing Corpus & Computational Linguistics.,04-04-13 4:46,0118-02-08 21:12:36
1018332,596,473,337,135,5,NULL,en,Kuwait,Doha Qatar,1,1,0,http://pbs.twimg.com/profile_images/1404249624/Profile_normal.jpg,NULL,1,https://abs.twimg.com/images/themes/theme1/bg.png,333333,10800,0,0,After 20 years at @Microsoft I joined @QatarFoundation to lead the Arabic Language Technologies initiative to Enrich Online Arabic Content. Freedom to #Syria,05-01-10 0:16,0118-02-08 21:12:37
4145524,968,1992,4979,857,28,NULL,en,Pacific Time (US & Canada),,1,1,0,http://pbs.twimg.com/profile_images/811180973597540352/yxEbMIx0_normal.jpg,https://pbs.twimg.com/profile_banners/4145524522/1502279795/web,1,https://abs.twimg.com/images/themes/theme1/bg.png,333333,-28800,0,0,"'""Red Humanitaria de Pilotos Voluntarios de UAV''s (Drones) para Asistencia en Desastres Naturales. Mapeo Análisis Búsqueda y Rescate en Chile.""'",09-11-15 6:02,0118-02-08 21:12:37
23927123,416,266,956,111,9,NULL,en,New Delhi,finite dim. vector space,0,0,0,http://pbs.twimg.com/profile_images/850998440163033089/YjaZRm9Z_normal.jpg,https://pbs.twimg.com/profile_banners/23927123/1401366163/web,1,https://abs.twimg.com/images/themes/theme8/bg.gif,333333,19800,0,0,Problem solver- AI compute healthcare math algorithms ; interests: Mathematical Systems Theory| Science | Humor,12-03-09 15:32,0118-02-08 21:12:37
54875928,2446,680,1471,403,15,https://t.co/5JcDy8RrBi,en,NULL,Glasgow,1,1,0,http://pbs.twimg.com/profile_images/471786051002847232/2p-4di6M_normal.jpeg,https://pbs.twimg.com/profile_banners/54875928/1401315299/web,1,https://abs.twimg.com/images/themes/theme1/bg.png,333333,-1,0,0,Senior Lecturer in computer and information sciences at University of Strathclyde Irish guy will watch any competitive sports. Views are my own etc.,08-07-09 17:36,0118-02-08 21:12:38
21333292,272,141,182,43,3,http://t.co/yFjnrhYYro,en,Edinburgh,Edinburgh UK,0,0,0,http://pbs.twimg.com/profile_images/1350632610/clare_normal.jpg,NULL,1,https://abs.twimg.com/images/themes/theme12/bg.gif,0C3E53,0,0,0,Hmmm general keywords: informatics libraries babies wine green. That should do it.,20-02-09 1:34,0118-02-08 21:12:38
2240239,2588,530,318,1540,60,https://t.co/2vypUrh0Gp,en,Pacific Time (US & Canada),Doha Qatar,0,0,0,http://pbs.twimg.com/profile_images/609962306064113664/_vMQpMDZ_normal.jpg,https://pbs.twimg.com/profile_banners/2240239095/1434263343/web,0,https://abs.twimg.com/images/themes/theme1/bg.png,0,-28800,0,0,Founding ED of QCRI. Formerly Purdue Hewlett-Packard. Industry Consultant and Public Speaker.,23-12-13 23:52,0118-02-08 21:12:38
1859664,166,140,1289,19,1,NULL,en,Cairo,Cairo,1,1,0,http://pbs.twimg.com/profile_images/1705685063/xWw8Ab06_normal,NULL,1,https://abs.twimg.com/images/themes/theme1/bg.png,333333,7200,0,0,System Administrator Specialist,02-09-10 13:15,0118-02-08 21:12:39
2453120,78,31,121,75,0,NULL,en,NULL,,1,1,1,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,NULL,1,https://abs.twimg.com/images/themes/theme1/bg.png,333333,-1,0,0,,31-01-11 17:15,0118-02-08 21:12:39
2567265,1390,329,242,57,20,http://t.co/c8UmV2wfRN,en,NULL,Tarragona (Cat),1,0,0,http://pbs.twimg.com/profile_images/600738422291062784/fxdWSvh7_normal.jpg,https://pbs.twimg.com/profile_banners/2567265674/1413551663/web,1,https://abs.twimg.com/images/themes/theme6/bg.gif,333333,-1,0,0,https://t.co/c8UmV2NRgn | Complex Systems group @IN3_UOC | Tweets on research @CoSIN3_UOC,14-06-14 20:35,0118-02-08 21:12:40
